id,name,issuer,type,network,cashbackMax,annualFee,fxFee,signupBonus,custody,kyc,regions,metal,mobilePay,stakingRequired,atmLimit,supportedAssets,officialLink,supportedCurrencies,perks
nexo-card,Nexo Card,Nexo,Credit,Mastercard,2,Free,0.2%-2.5%,$25 BTC,Custodial,Required,"EEA, UK",Yes,Yes,None (Portfolio-based),"€2,000/mo free (Platinum)",60+ Assets,https://nexo.com/crypto-card,EUR | GBP | USD,"up to 2% crypto cashback | earn up to 14% interest per year on unspent balance, paid out daily | use worldwide at over 100 million merchants | up to €2,000 / £1,800 free ATM withdrawals per month (Platinum tier) | Apple Pay and Google Pay supported | no monthly, annual, or inactivity card fees"
coinbase-card,Coinbase Card,Coinbase,Prepaid,Visa,4,Free,Not specified,None,Custodial,Required,US (except Hawaii),No,Yes,None,Spend limits apply,All Coinbase Assets,https://www.coinbase.com/card,USD,"Earn crypto without buying crypto | No hidden fees | Industry-leading security features (2FA, card freezing, PIN change, etc.) | Switch rewards at any time | Fund with bank account or paycheck (zero fees) | No credit check | 24/7 support"
binance-card,Binance Card,Binance,Debit,Visa,3,Free,1-2%,$100,Custodial,Required,"Brazil, LATAM",No,Yes,None,"3,000 BRL/day","USDT, USDC, FDUSD, BNB, BTC, ETH, SOL, ADA, LINK, XRP",https://www.binance.com/en/cards,BRL | ARS | COP,"Earn up to 3% cashback on every purchase | Earn up to 250 BRL/month | Automatic cashback that deposits into your account every month | Increased Cashback for all spending in Dec 2025 - Feb 2026 | Spend with Virtual Card Immediately After Applying | Pay anywhere, anytime with crypto"
Kripicard,Premium,Kripicard,Credit,Visa,0,Free,Zero FX fees,None,Self-Custody,None,Global,No,Yes,No,NA,"Bitcoin, ETH, USDT, XMR, LTC, TON , ETH, SOL , BNB , DOGE , TRON ",https://kripicard.com/register/Param25,USD | HKD,0% Cashback | 0% FX fees | Virtual card | Google Pay | Apple Pay  | Paypal 
cdc-visa,Crypto.com Visa,Crypto.com,Prepaid,Visa,8,Staking,"ATM withdrawal fees, interbank exchange rates, top-up fees, and other charges may apply depending on your jurisdiction and card tier",$25 CRO,Custodial,Required,"Global (US, EU, UK, CA, APAC)",Yes,Yes,"Yes ($500-$1,000,000 CRO)","$200-$1,000/mo free (tier-dependent)",Fiat/CRO,https://crypto.com/en/cards,USD | EUR | GBP | CAD | SGD | AUD,"CRO Rewards on everyday spending (0% to 8% depending on tier) | CRO Rewards on travel spending (up to 1.5% to 15% depending on tier, coming soon) | Priority support (from Ruby Steel tier) | Voice & messaging support (from Jade Green / Royal Indigo tier) | Exclusive experiences: F1, UFC, UEFA & more (from Jade Green / Royal Indigo tier) | Private account manager (coming soon from Jade Green / Royal Indigo tier) | Subscription rebates: Spotify, Netflix, and Truth+ (3 months to permanent depending on tier) | Airport lounge access (from Jade Green / Royal Indigo tier, with variations by tier)"
bybit-card,Bybit Card,Bybit,Debit,Mastercard,10,Free,0.5%,20 USDT,Custodial,Required,"EEA, LATAM",No,Yes,None,100 USD/mo free,8+ Cryptos,https://www.bybit.com/en/cards,EUR | USD | GBP,"10% cashback up to 150 USD for selected users | 100% rebates on selected partners | 2% to 10% cashback rewards on everyday spending | Compatible with Apple Pay, Google Pay, and Samsung Pay | Earn up to 8% APR on idle funds with Auto-Earn | Free worldwide delivery"
kast-card,KAST Card,KAST,Debit,Visa,8,Free,Not specified,NFT,Non-Custodial,Required,Global (160+ countries),No,Yes,Yes (earn points boost on staked SOL),Varies by Region,"USDC, SOL, ETH, BTC",https://www.kast.xyz/,USD | EUR | Global,Rewards points | Instant access | Points boost | VIP Concierge
gemini-card,Gemini Credit,Gemini,Credit,Mastercard,4,Free,0%,None,Custodial,Required,US,Yes,Yes,None,Cash Advance Fees,Rewards in 60+,https://www.gemini.com/credit-card,USD,"Earn up to 4% on every purchase | Earn bitcoin, or 50+ cryptos available on Gemini | Rewards are instantly deposited"
metamask-card,MetaMask Card,ConsenSys,Debit,Mastercard,3,Free,1% (Metal tier 0%),None,Self-Custody,Required,"EU, UK, US",No,Yes,None,"No fee up to $1,200/mo, then 2%","USDC, USDT, ETH",https://metamask.io/card,USD | EUR | GBP,Self-Custody | Linea Network | Direct Spending | Earn 1 MetaMask Rewards point for every $1 USD you spend | crypto cashback | exclusive benefits from our global partner network
etherfi-card,Ether.fi Cash,Ether.fi,Credit,Visa,15,Free,1%,Points,Non-Custodial,Required,US,No,Yes,None,2% fee,USDC (Yielding),https://www.ether.fi/cash,USD,DeFi Native | Yield Bearing | Borrow vs ETH | Cashback on every purchase | Free physical cards | Virtual cards | Contactless payment | Apple Pay & Google Pay | Non-custodial account | Use your crypto | Spend with value-accruing stables | Family Member Cards w/ controls (coming soon) | Referral rewards (1% Cashback on referral purchases + 10% points on their deposits) | Airport Companion lounge access | Concierge | Priority support (24/7 Live Chat and email) | Crypto concierge (coming soon) | Exclusive hotel discounts (Up to 65% off luxury hotels) | Price protection Up to $2K | Purchase protection Up to $10K | Extended warranty Up to $10K | Auto rental insurance
wirex-card,Wirex Card,Wirex,Debit,Mastercard,8,Free,Not specified,1000 WXT,Custodial,Required,Global (130+ countries),No,Yes,Yes (WXT),$400/mo Free,150+ Cryptos,https://www.wirexapp.com/,USD | EUR | GBP | SGD | AUD | HKD | INR,Earn up to 8% Cryptoback™ on every purchase | Fee-free ATM withdrawals worldwide
bitpay-card,BitPay Card,BitPay,Prepaid,Mastercard,0,Free,3%,None,Custodial,Required,US,No,Yes,None,"$2,000/day",15+ Top Caps,https://www.bitpay.com/card,USD,Instant Loading | High Limits | Secure
coca-card,Coca Card,COCA,Debit,Visa,8,Free,Not specified,None,Non-Custodial,Light,"EEA, UK, Global",No,Yes,Yes (for Tiers),$250/mo free,"USDT, USDC, EURC, EURS (15+ chains)",https://www.coca.xyz/,EUR | USD | GBP,MPC Wallet | Non-Custodial | Privacy Focus | Up to 8% Cashback | 6% APY on balances | 50% off subscriptions
brighty-card,Brighty Card,Brighty,Debit,Visa,1.75,Free,0%,None,Custodial,Required,EEA,No,Yes,None,€200/mo Free,"USDT, EURT, USDC",https://brighty.app/,EUR | USDT,Daily Interest | Instant Exchange | Digital Bank | Up to 10% APY on crypto | AI-Driven Wealth | Seamless Transactions | Quick Deposits
cypher-card,Cypher Card,Cypher,Prepaid,Visa,Variable,"$0 (Basic with Virtual Card), $199 (Premium)",0.75%-1.75%,100 $CYPR with referral code,Non-Custodial,None,Global,Yes,Yes,None,"$2,000/day",1000+ tokens across 15 chains,https://cypherhq.io/card,USD | Global,Private Spending | Luxury | Concierge | Instant off ramp from crypto to fiat | Both physical and virtual card | Superior card controls | Load with any non-custodial wallet | Family spending | Fraud protection
venmo-card,Venmo Credit,Venmo,Credit,Visa,3,Free,0%,None,Custodial,Required,US,No,Yes,None,$400/day,"BTC, ETH, LTC, BCH",https://venmo.com/about/creditcard,USD,Auto-Purchase Crypto | Split Purchases | Social Feed
bitrefill-card,Bitrefill Card,Bitrefill,Prepaid,Visa,0,Free,0%,-,Custodial,Required,Europe,No,Yes,None,"€350/day & €3,000/month","USDC, BTC, ETH, BNB, Polygon, Solana",https://t.co/UQGED9yISR,USD,No monthly fee | No issuing fee | Virtual & Physical Card | Unlimited SEPA Withdrawal Limit | 24/7 support | Withdraw cash at ATMs globally
whitebit-card,WhiteBIT Card,WhiteBIT,Debit,Visa,10,Free,0%,None,Custodial,Required,EEA,No,Yes,None,"€2,500/mo","WBT, USDT, BTC, ETH, XRP, SOL, NEAR, ADA, AVAX, EUR, DOGE",https://whitebit.com/crypto-card,EUR | USD | UAH,WBIT Holder Perks | Fast Verification | Secure | up to 10% cashback in BTC | zero fees for top-up | contactless payments | earn cashback in selected categories | referral program
wayex-card,Wayex Card,Wayex,Prepaid,Visa,1,Free,0% on USD,None,Self-Custody,Required,"US, Global",No,Yes,None,Not specified,"Stablecoins (USDC, USDT)",https://www.wayex.com/en-US,USD | EUR,"Crypto to Fiat | Instant | User Friendly | Automatic yield (up to 5% everyday, up to 20% fixed-term) | instant swaps | global USD/EUR accounts"
gnosis-card,Gnosis Pay,Gnosis,Debit,Visa,4,€30,Optional,None,Self-Custody,Required,"UK, EEA",No,Yes,None,€500/day,"EURe, GNO, ETH, USDC, EURC",https://gnosispay.com/,EUR | GBP,On-chain | Self-Custody | Developer Friendly | Instant Deployment | Multi-Currency Native | Self-Custodial | Global Coverage
fold-card,Fold Card,Fold,Debit,Visa,15,Free,0%,Free Sats,Custodial,Required,US,No,Yes,None,No Fees (In-Network),Bitcoin Only,https://foldapp.com/,USD,Bitcoin Rewards | Spin Wheel | Bill Pay | Buy and sell bitcoin with zero fees | Up to 1.5% back with ACH bill pay rewards | Gift card rewards and up to 15% back on merchant boosts | 1.5% back on categories like dining and travel
bleap-card,Bleap Card,Bleap,Debit,Mastercard,2,Free,0%,None,Non-Custodial,Required,EEA,No,Yes,None,€400/mo free,"USDC, ETH",https://www.bleap.finance/,EUR,Account Abstraction | Gasless | Easy Setup | Instant crypto-to-fiat conversion | free ATM withdrawals up to $400 | Apple Pay/Google Pay support
bitpanda-card,Bitpanda Card,Bitpanda,Debit,Visa,1,Free,0%,None,Custodial,Required,EEA,No,Yes,Yes (BEST),€500/day,All Bitpanda Assets,https://www.bitpanda.com/en/card,EUR,Spend Assets | Metals | Stocks | Free card | No monthly costs | 0% FX fees for non-Euro transactions | In-app card management | Apple Pay support | Real-time spending tracking | Visa security & fraud prevention
zypto-card,Zypto Card,Zypto,Prepaid,Visa,0,Free,2%,None,Non-Custodial,Light,Global,No,Yes,None,Varies,100+ cryptocurrencies,https://zypto.com/,USD | EUR | Global,Virtual Cards | Gift Cards | Wide Crypto Support | Use anywhere Visa is accepted | Up to $1M in spending power | Fast KYC | Instant funding | Premium VISA benefits | Personal concierge | Travel and lifestyle benefits
ledger-card,Ledger CL,Ledger,Debit,Visa,1,Free,1%,None,Self-Custody,Required,"UK, EEA",No,Yes,None,€600/mo,"BTC, ETH, USDT",https://shop.ledger.com/pages/cl-card-crypto-card,EUR | GBP | USD,Ledger Live | Secured by Ledger | Collateral | Earn 1% cashback crypto rewards | Securely top up your card with crypto | Withdraw cash at ATMs | Unlock liquidity while holding onto your assets
tuyo-card,Tuyo Card,Tuyo,Debit,Mastercard,0,Free,up to 1% for non-USD,None,Self-Custody,None,"US, EEA, LATAM",No,Yes,None,Not supported,"USDC, USDT",https://tuyo.com/card,USD | EUR,Latin America | Easy Onramp | Mobile First | Keeping custody (self-custodial) | Privacy of transaction details | Compatibility with USDC on Base | Support for mobile wallets (Apple Pay and Google Pay)
redotpay-card,RedotPay Card,RedotPay,Prepaid,Visa,0,Free,1.2%,$5,Custodial,Light,Global (excluding US/Sanctioned),No,Yes,None,$500/day,"USDT, USDC, BTC, ETH",https://www.redotpay.com/,USD | HKD | Global,"Hong Kong | Virtual Card | Fast KYC | Shop, withdraw, and manage your funds globally | No Annual Fees | Simply tap or swipe to pay | Withdraw cash at ATMs globally"
tria-card,Tria Card,Tria,Debit,Visa,5,Free,0.5%,None,Non-Custodial,Required,Global,No,Yes,None,Standard,"BTC, Sol, and other 1000+ coins",https://www.tria.so/en,USD | Global,Chain Abstraction | Any Token | Gasless | Boosted Rewards with Tria Card | Activate higher yields and exclusive opportunities when you hold and use a Tria Card
avici-card,Avici Card,Avici,Debit,Visa,2,Free,0%,Waitlist,Non-Custodial,Required,EEA,Yes,Yes,None,"€1,000/day",ERC-20 Tokens,https://avici.money/,EUR,DeFi Integration | Yield | Premium Design | 1.5%–2% cashback on eligible purchases | Instant virtual & physical cards
oobit-card,Oobit Card,Oobit,Debit,Visa,6,Free,1%,10 OBT,Non-Custodial,Required,"EEA, USA, South Africa, Brazil",No,Yes,None,€500/day,"BTC, ETH, OBT, USDT",https://www.oobit.com/,EUR | USD | BRL,"Tap to Pay | Instant Convert | Rewards | A crypto card that lets you use USDT, Bitcoin, Ethereum as cash | Spend instantly at millions of stores"
plutus-card,Plutus Card,Plutus,Debit,Visa,9,Free,0%,$10 PLU,Non-Custodial,Required,"UK, EEA",No,Yes,Yes (PLU),£500/day,"PLU, ETH, BTC",https://www.plutus.it/,EUR | GBP,Perks Selection | Stacking | Subscription | Earn 3-9% in PLUS Rewards on card spending | enjoy £10 in rewards back monthly at 50+ Perks
deblock-card,Deblock Card,Deblock,Debit,Visa,1,Free standard plan,0%,3 months Premium Plan,Non-Custodial,Required,EEA,No,Yes,None,"€30,000/monthly","BTC, ETH, USDT, USDC, SOL, BNB, PENGU, HYPE, TON, and hundreds more",https://deblock.com/f-cca,EUR,"Europe | Virtual Card | Self Custodial | MiCA licensed | Fast KYC | Deblock is: IBAN, cards, instant bank transfers, currency and Crypto exchanges... For free and with no bank charges! | No Annual Fees | Custom NFT branded cards | Withdraw cash at ATMs globally"
ready-lite,Ready Lite,Ready,Debit,Mastercard,0.5,Free,Zero FX fees,None,Self-Custody,Required,Global,No,Yes,No,$200/month free,"Bitcoin, ETH, USDC",https://t.co/uXiZjnByAs,USD,0.5% Cashback | 0% FX fees | Virtual card | Google Pay | Apple Pay coming soon
tapx-card,TapX Card,TapX,Debit,Visa/Mastercard,N/A,Free,0% FX fees,None,Self-Custody,Light,Global,No,Yes,No,Varies by plan,"Bitcoin, USDT, 70+ cryptocurrencies",https://tapxcard.com,USD,Cashback coming soon | 0% FX fees | Physical & virtual card | Google Pay | Apple Pay
fiat24-card,Fiat24 Card,Fiat24,Debit,Mastercard,N/A,Free,Included in top-up fee (varies by tier),None,Hybrid,Required,"Europe, Asia, Oceania, North America (specific countries with limits)",No,Yes,No,N/A (virtual card),"ETH, USDC, USDC.e, USDT, ARB, LON, EUR24, CHF24, USD24, CNH24 (Arbitrum)",https://fiat24.com/,EUR | CHF | RMB | USD,dApp | Swiss IBAN | Multicurrency | Tokenized fiat | SEPA/SWIFT payments | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay
thorwallet-card,THORWallet Card,THORWallet,Debit,Mastercard,N/A,Free,1% (standard tier),None,Non-Custodial,Required,"100+ countries (Europe, Asia, Oceania, North America)",No,Yes,No,"$10,000/day (standard tier)","Over 20,000 crypto tokens including ETH, USDC, USDT, BTC",https://www.thorwallet.org/,CHF | EUR | USD | RMB,"Non-custodial | Swiss IBAN account | Multicurrency support (CHF, EUR, USD, RMB) | Tokenized fiat | No monthly fees | Apple Pay | Google Pay | SEPA/SWIFT payments"
safepal-card,SafePal Card,SafePal,Debit,Mastercard,N/A,Free,1%,None,Non-Custodial,Required,"60+ countries (Europe, Asia, Oceania, North America)",No,Yes,No,"€5,000/day","Crypto across 40+ blockchains including ETH, USDC, USDT, BTC",https://www.safepal.com/en/bank,EUR | CHF | RMB | USD,Non-custodial | Swiss IBAN account | Multicurrency | Lowest fees | Easy setup | Referral commission up to 40% | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay | SEPA/SWIFT payments
ur-card,UR Card,UR,Debit,Mastercard,N/A,Free,Not specified,None,Non-Custodial,Required,"Europe, Asia, Oceania, North America",No,Yes,No,"$11,611/day","ETH, USDT, USDC, USDT0, WBTC, USDS, USDe, WETH, MNT, ENA, mETH, stETH, PYUSD, LINK, UNI, AAVE, LDO, PENDLE, ARB, POL, ENS, crvUSD, PAXG, XAUt; Fiat: EUR24, CHF24, USD24, CNH24, JPY24, SGD24, HKD24 (Arbitrum)",https://ur.app/,EUR | CHF | RMB | USD | SGD | HKD | JPY,Neobank | Swiss IBAN account | Multicurrency | Banking trust | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay | SEPA/SWIFT payments
savepay-card,SavePay Card,SavePay,Debit,Mastercard,N/A,Free,Not specified,None,Non-Custodial,Required,"Europe, Asia, Oceania, North America",No,Yes,No,"$109,384.22/month","ETH, USDC, USDC.e, USDT, ARB, LON; Fiat: EUR24, CHF24, USD24, CNH24 (Arbitrum)",https://savepay.gitbook.io/savepay,EUR | CHF | RMB | USD,Non-custodial | Swiss IBAN | Free card | SEPA/SWIFT | Ultra low fees | Multicurrency | Referral commission 60% | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay
imtoken-card,imToken Card,imToken,Debit,Mastercard,N/A,Free,Low,None,Non-Custodial,Required,"Europe, Asia, Oceania, North America",No,Yes,No,N/A (virtual card),"ETH, USDC, USDT, WBTC (Arbitrum/ERC-20); Fiat: EUR24, CHF24, USD24, CNH24",https://token.im/card?locale=en-US,EUR | CHF | RMB | USD,Non-custodial | Swiss IBAN | SEPA/SWIFT | Low fees | Multicurrency | High spend limits | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay
tokenpocket-card,TokenPocket Card,TokenPocket,Debit,Visa,N/A,Free,Not specified,None,Non-Custodial,Required,"30+ countries (Europe, Asia, Oceania, North America)",No,Yes,No,"$100,000/month","Any tokens on Arbitrum including ETH, USDC, USDT",https://card.tokenpocket.pro/?locale=en,EUR | CHF | RMB | USD,Non-custodial | Swiss IBAN | SEPA/SWIFT | Low fees | Multicurrency | High spend limits | Apple Pay | Google Pay | Samsung Pay | Alipay | WeChat Pay
bitgetwallet-card,Bitget Wallet Card,Bitget Wallet,Prepaid,Visa/Mastercard,2.2,Free,1.7%,$5,Non-Custodial,Light,"Global (Asia / LatAm / Europe, excluding US & sanctioned regions)",No,Yes,None,"$10,000/day","USDT, USDC",https://web3.bitget.com/,USD | Global,"0 Fees | Google-rate FX | 0 Fees on everyday spending (within monthly limit) | Spend crypto like cash, globally | Virtual Card & Physical Card supported | Apple Pay & Google Pay ready | Accepted worldwide (Visa, Mastercard network) | Fast & seamless KYC | Custom card designs & brand collaborations"
